登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
088年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;37號,財團,變更登記,李端季,1,088/10/11,088/11/16,088/11/16,1冊            1頁,2,15,張世良,財團法人彰化縣八卦山大佛風景協會,045/12/12,彰化縣彰化市中山里溫泉路三十一號,,捐助,彰化縣政府(民國四十五年十二月二十二日),不定期,2000000,准許,088/11/30,088/12/06,088/12/06,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;14號,財團,變更登記,陳正禧,2,103/01/20,103/02/14,103/02/14,1冊            4頁,1,14,柴御清,中州學校財團法人,058/11/28,彰化縣員林鎮山腳路3段2巷6號,為教育青年，培養人才而創立學校。,創辦人可景俊捐助新台幣伍佰萬元整、土地五.一五一一甲。,教育部 中華民國58年11月24日(58)專字第24275號令,永久,2315433150,准許,103/02/14,,103/02/24,,,,,,
097年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21號,財團,變更登記,羅培昌,3,097/02/22,097/02/26,097/02/26,1冊            6頁,1,13,莊孝盛,財團法人彰化縣私立基督教喜樂保育院,059/09/26,彰化縣二林鎮中西里二城路七號,以基督博愛精神，教養身心障礙者，養護失智成人、老人，推展身障礙福利事業為宗旨。,由創辦人瑪喜樂捐助、政府補助、社會善心人士捐助。,中華民國五十九年五月二十四日彰化縣政府,永久設立,113687951,准許,097/02/26,097/03/24,097/03/14,,,,,,
096年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;11號,財團,變更登記,羅培昌,4,096/01/16,096/01/17,096/01/17,1冊            8頁,2,11,董事長,財團法人彰化縣警化堂,059/10/07,彰化縣員林鎮新生里新生路一一一巷五十六號,宣揚教義修持戒律提高國民道德興辦慈善公益事業社會福利為宗旨,財產收益、信徒捐款、油香收入、其他等,五十九年九月十日彰化縣政府,永久設立,87037400,准許,096/01/18,096/06/13,096/01/30,,,,,,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;93號,財團,變更登記,洪榮謙,5,101/10/18,101/10/18,101/10/18,1冊            10頁,2,11,張明禮,財團法人彰化縣武聖宮,060/04/29,彰化縣埔心鄉東門村武聖路四九一號,以崇奉三教聖神，仙佛尊神，揚名聖德，宣化教義，重整道德，兼辦慈善公益事業，促進社會福利為宗旨。,財產收益、信徒捐獻、油香收入及其他收入。,彰化縣政府六十年三月十五日。,永久設立,971904,准許,101/10/22,,101/10/29,,,,,,
096年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;79號,財團,變更登記,羅培昌,6,096/12/06,096/12/07,096/12/07,1冊            12頁,2,6,張椿堂,財團法人彰化縣妙化堂,060/09/08,彰化縣員林鎮惠來里光明街141巷20號,宣揚教義，重整道德，兼辦慈善公益事業，圖謀社會福利為宗旨，及關於信慈善互功並合於前項目的事項。,信徒及各界捐贈收益,彰化縣政府 中華民國六十年八月十一日,永久,36246100,准許,096/12/07,097/01/23,096/12/20,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;73號,財團,變更登記,羅培昌,7,100/08/01,100/08/17,100/08/17,1冊            14頁,2,10,高瑞言,財團法人中華基督教浸信宣道會員林教會,060/02/23,彰化縣員林鎮中正里三民東街25號,,信徒自由樂捐及其他熱心基督教人士或團體捐贈之。,中華民國六十年十二月八日,永久,59557764,准許,100/08/18,,100/08/25,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21號,財團,變更登記,陳正禧,8,103/01/29,103/02/24,103/02/24,1冊            15頁,1,12,楊瑞嬌,財團法人臺灣省彰化縣私立文興高級中學,061/01/10,彰化縣田中鎮員集路3段93號,一、以天主教「全人教育」為辦學的目標和理想。二、竭盡所能教養學生成為「幸福之人」和「有用之人」。三、從事青少年及幼兒教育，並推動及辦理終身學習，增進國民基本生活知能。,天主教教廷、耶穌聖心修女會補助、社會人士捐獻及學生學雜費等,台灣省教育廳 60年11月15日教二字第82058號,永久,443482200,准許,103/02/24,,103/03/03,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4號,財團,變更登記,洪榮謙,9,102/01/03,102/02/01,102/02/01,1冊            17頁,2,10,王俊傑,財團法人彰化縣私立鹿港金長順泉郊慈善基金會,061/01/13,彰化縣鹿港鎮中山路233號,為各種救濟設施、設立施醫所、助產所、習藝所及其他救濟事業。,捐助,民國四十年十二月十一日,永久,8651913,准許,102/02/01,,102/02/19,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;26號,財團,變更登記,陳正禧,10,103/02/18,103/03/11,103/03/11,1冊            19頁,1,14,陳建亨,正德學校財團法人,061/05/16,彰化縣彰化市莿桐里彰水路145號,為創辦私立正德高級中學並謀其發展為目的。,董事會捐贈、學雜費收入。,台灣省政府教育廳於中華民國61年05月01日。,無限期存立,1338007902,准許,103/03/11,,103/03/18,,,,,,
