登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
040年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1號,社團,設立登記,,1,040/03/21,040/03/22,040/03/24,1冊            1頁,,0,蔡  璋,社團法人台灣省琉球人民協會,040/03/22,基隆市中正區水產路二八號,聯絡感情發揚互助精神提高居台灣之琉球人民遵守政府法令以謀生活之改善,捐助,卅七年七月十五日台灣省政府社字第三四號,不定期,1500,准許,040/03/22,092/12/18,,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;68號,財團,變更登記,簡豐益,2,102/11/08,102/11/08,102/11/08,1冊            2頁,1,11,林水木,財團法人基隆市私立博愛仁愛之家,043/11/04,基隆市暖暖區源遠路254號,以舉辦並發展社會福利事業為宗旨。,一、基金孳息，二、業務收入，三、各界捐助，四、政府補助，五、其他收益撥充之。,基隆市政府中華民國41年11月15日,永久,146780725,准許,102/11/08,,102/11/08,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;61號,財團,變更登記,簡豐益,3,102/10/17,102/10/17,102/10/17,1冊            3頁,2,17,林清德,財團法人台灣基督長老教會基隆中正教會,045/10/12,基隆市正義路9號,在台灣省基隆市各地傳佈基督教教義，並辦理社會救濟福利及教育事業。,捐助,基隆市政府45年9月26日(45)民行團字第02號　　　　　　,永久　　,26518000,准許,102/10/17,,102/10/17,,,,,第16屆董事任期屆滿，改選產生第17屆董事。,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45號,財團,變更登記,陳一素,4,100/10/24,100/10/24,100/10/24,1冊            4頁,2,9,莊季高,財團法人台灣省基隆市基隆教會,045/11/22,本堂（主事務所）設於基隆市仁愛區延平街11號，並得視需要增設分堂（分事務所）。,本法人以遵行聖經真理，敬拜真神傳揚福音，造就信徒領人歸主；並辦理社會教育、家庭教育、外籍配偶關懷及各類慈善等公益服務事業以達成全人關懷之宗旨。,由信徒自動樂捐,基隆市政府45年10月27日,永久,8391973,准許,100/10/24,,100/10/24,,,,,,
045年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;5號,財團,設立登記,闞  超,5,045/02/24,047/09/25,047/09/29,1冊            5頁,,0,趙執中,財團法人台灣省基隆區司法保護分會,047/09/25,基隆市東信二路崇法巷五十四號,以保護出獄人輔導就業安定社會為目的,補助及捐助,基隆市政府四十七年六月十七日(四七)基府民社字第一五八九七號,不定期,167245,准許,047/09/29,092/12/18,,,,,,,
047年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6號,社團,設立登記,闞  超,6,047/07/30,047/08/17,047/08/16,1冊            6頁,,0,董建華,社團法人海洋漁業行,047/08/17,基隆市中正三路成功巷十七號,以增加生產營利為目的,股東投資,四十七年四月卅日,不定期,130000,准許,047/08/17,092/12/18,,,,,,,
093年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;5號,財團,變更登記,李木貴,7,093/02/11,093/02/11,093/02/16,1冊            7頁,1,0,江寶義,財團法人基隆市江氏教育基金會,049/03/12,基隆市仁三路七十四號,為輔助江氏宗親間因家庭清寒無力負擔子女學費及獎勵在校成績優良學生藉求深造起見，邀集各宗親捐助，特組織本基金會。,江氏宗親捐助,基隆市政府中華民國四十九年三月四日,永久　　　,1678700,准許,093/02/13,093/03/01,,,,,,,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;28號,財團,變更登記,簡豐益,8,101/07/31,101/07/31,101/07/31,1冊            8頁,2,10,徐志成,財團法人基隆中山基督教會,050/12/25,基隆市中山區仙洞街45號,宣揚基督教真理，改善社會風氣。,由教會會友奉獻捐贈。,基隆市政府49年9月1日( 變更登記據86基府民禮字第018371號函辦理 ),永久,1157100,准許,101/07/31,,101/07/31,,,,,,
050年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;9號,財團,設立登記,闞  超,9,050/07/19,050/09/08,050/08/24,1冊            9頁,,0,郭建德,財團法人基隆市閩南同鄉會,050/09/08,基隆市仁愛區新民巷五號,聯絡同鄉之情感發揮互助精神協助社會舉辦公益事業為宗旨,由會員認捐,五十年三月卅一日,不定期,173000,准許,050/09/08,092/12/18,,,,,,,
099年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;16號,財團,變更登記,陳一素,10,099/03/29,099/03/29,099/03/29,1冊            10頁,2,2,蕭淑真,財團法人台灣省基隆市極樂寺,052/08/24,基隆市信二路270號,宣揚佛教教義，擴充佛教基礎，廣布普導濟世救眾，育英事業及其他公益事業,捐助,基隆市政府51年11月29日,永久,525600,准許,099/03/29,099/04/08,099/03/29,,,,,98年度改選董事會。,
