登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,第6屆理監事任期屆滿，理監事改選。,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;12號,社團,變更登記,郭浩銓,1,101/03/12,101/03/13,101/03/14,1冊            1頁,2,7,理事長,社團法人苗栗縣身心障礙福利協進會,086/05/02,苗栗縣竹南鎮新南里17鄰3號之6,以結合本縣各類身心障礙，積極爭取身心障礙者人權，促進身心障礙者權利益，發揮互助精神為宗旨。,一、入會費。二、常年費。三、事業費。四、委託收益。五、會員捐款。六、基金及其利息。七、其他收入。,苗栗縣政府中華民國85年10月1日府社政字第111176號函,永久,407180,准許,101/03/13,,,,,,,理監事改選變更登記,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;62號,財團,變更登記,吳玉金,2,102/12/10,102/12/12,102/12/13,1冊            4頁,2,5,董事長,財團法人苗栗縣私立新苗發展中心,086/05/13,苗栗縣後龍鎮東明里1鄰頂浮尾83之2號,以辦理兒童福利、身心障礙福利服務、老人福利服務、社區正故服務、身心障礙者職業訓練及就業輔導服務、其他相關社會福利服務業務之慈善救濟目的事業為宗旨。,由張維海發起創辦暨張世禎等捐助成立。,苗栗縣政府中華民國86年5月9日86府社福字第51521號函,永久,80870985,准許,102/12/12,,102/12/19,,,,,,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;28號,社團,變更登記,郭浩銓,3,101/05/09,101/05/11,101/05/14,1冊            6頁,2,6,理事長,社團法人苗栗縣聲暉協進會,086/06/28,苗栗縣後龍鎮大庄里2鄰成功路282號,一、倡導聽障兒學前口語教育，促其回歸教育主流。二、結合聽障者家長及熱心人士力量以謀提昇聽障者之教育品質與就業機會。三、提供聽障家長專業知識訊息。    四、聯繫有關機構增進專業知識交流。,一、入會費。二、常年會費。三、會員捐款。四、基金及其他孳息。五、其他。,苗栗縣政府中華民國86年6月12日86府社政字第61094號函,永久,506907,准許,101/05/11,,,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;8號,社團,變更登記,吳玉金,4,102/02/18,102/02/25,102/03/01,1冊            4頁,2,12,理事長湯錦乾,社團法人苗栗縣救難協會,086/06/14,苗栗市恭敬里中正路1070號,一本傳統助人美德，非以營利為目的，激勵人類「博愛惻隱，互助助人」之良知，整合救急救難力量，發揮互助互愛精神，以達服務社會之宗旨。,社會各界捐助,苗栗縣政府中華民國81年1月23日,永久,2500000,准許,102/02/25,,102/03/07,,,,,第11屆理事長、常務理事、理事、常務監事、監事任期屆滿，改選第12屆理事長、常務理事、理事、常務監事、監事。,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;31號,財團,變更登記,吳玉金,5,102/05/20,102/05/23,102/05/24,1冊            10頁,2,9,董事長戴義勳,財團法人台灣省苗栗縣中華基督徒祈禱院,086/08/19,台灣省苗栗縣造橋鄉談文村淡文湖三鄰三號,以基督教聖經之原則，舉辦祈禱以宣揚基督教義，辦理社會公益及宗教教育等事工。,,苗栗縣政府七十七年四月十三日,永久存立,26231455,准許,102/05/23,,,,,,,一、任期中董事蘇義德辭退董事乙職，補選歐陽桂芳繼任董事。,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;28號,社團,變更登記,吳玉金,6,102/05/08,102/05/16,102/05/17,1冊            7頁,2,15,理事長王封台,社團法人苗栗縣肢體傷殘自強協會,086/07/31,苗栗縣苗栗市中正路191號,一、協助政府推行政令，配合政府身心障礙福利政策。二、喚起社會各界人士發揮愛心，重視身心障礙者。三、增進身心障礙者身心平衡發展，激勵身心障礙朋友發揮潛能及堅強意志，積極參與社會，服務人群，由勉迎向實際，由互助走向創造，互策互勵，從團隊中找尋智慧，促進三民主義大同世界之理想早日實現為宗旨。,捐助,苗栗縣政府中華民國74年4月14日府社政字第98865號函,永久性,1173382,准許,102/05/16,,102/05/22,,,,,,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;25號,社團,變更登記,郭浩銓,7,101/05/01,101/05/02,101/05/03,1冊            13頁,2,10,理事長,社團法人苗栗縣智障福利協進會,086/08/14,苗栗縣苗栗市勝利里36鄰金龍街188號,以結合苗栗縣智障者家長及關心智障者之人士，為喚起政府及社會人士，加強對智障者之關懷與重視並積極向各級政府爭取智障者各種合法權益，謀求智障者合法福利為目的。,捐助,苗栗縣政府80年5月13日府社政字第50978號函,永久,1490039,准許,101/05/02,,,,,,,第八屆理監事任期屆滿，第九屆理監事改選,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;16號,社團,變更登記,吳玉金,8,103/04/11,103/04/14,103/04/15,1冊            40頁,2,11,理事長范全香,社團法人苗栗縣脊髓損傷者協會,087/02/24,苗栗縣竹南鎮崎頂里3鄰青草27之23號,本會以結合群力，協助脊髓損傷者自立、自強，重新適應社會生活為宗旨。,會員入會費、會員年會費、政府補助費、會員捐款及籌款、委託收益、基金及孳息、其他收入,苗栗縣政府中華民國83年7月24日83府社字第85923號函,永久　,2270631,准許,103/04/14,,103/04/18,,,,,,
092年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4號,財團,變更登記,郭千黛,9,092/01/21,092/01/21,092/01/23,1冊            15頁,2,3,董事長,財團法人國立竹南高級中學文教基金會,086/10/23,苗栗縣竹南鎮中正路九十八號,,捐助,苗栗縣政府八十五年五月十五日府教社字第０五二四五三號,永久,5000000,准許,092/01/21,092/03/31,,,,,,,
087年法登社              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4號,社團,設立登記,李添興,10,087/05/22,087/05/25,087/06/02,1冊            4頁,,0,邱增雄,社團法人苗栗縣居家老人福利協會,087/05/25,苗栗縣頭份鎮興隆里十六鄰興一街五號,居家老人及其眷屬，凡生活發生困難，生理衰老或其他事故致生活發生障礙時，由本會協助改善，使其安享健康愉快之生活。,會員及社會善心人士捐助,苗栗縣政府民國七十六年三月二十三日,無限期,7655221,准許,087/06/01,090/09/24,,,,,,,
