登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
092年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;24號,財團,變更登記,張國忠,1,092/06/09,092/06/10,092/06/11,1冊            1頁,2,4,洪登魁,財團法人南投縣私立憫惠教養院,082/03/25,南投縣名間鄉埔中村埔中巷二０之一四號,以舉辦並發展社會救濟慈善事業為宗旨,由劉翠連等六人捐助,南投縣政府八十二年一月十六日,永久,3697215,准許,092/06/09,,,,,,,,
083年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3號,財團,設立登記,王重吉,2,083/10/20,083/11/15,083/11/21,2冊            2頁,,0,莊樹成,財團法人南投縣私立金剛山仁愛之家,083/11/15,南投縣埔里鎮桃米里種瓜路三十四號,一、接受主管機關指導收容相關政府機關函送本家收容之公費無助老人。    二、老人之安養收容。三、老弱無依之收容及救助。                      四、貧困病患之醫療救濟。五、宣揚中華固有倫理文化及配其它宗教團體協辦,晶園建設股份有限公司及莊樹成、陳平和等七人。,（83）投府社福字第九五九０八號。,永久,2000000,准許,083/11/29,083/11/29,083/11/29,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;24號,財團,變更登記,李述燊,3,103/03/27,103/05/02,103/05/02,1冊            3頁,1,15,洪明山,財團法人草屯惠德宮,083/11/21,南投縣草屯鎮太平路二段287號,以崇奉三教，聖、神、仙、佛，闡揚聖德，宣化教義，發揚固有民族精神，提高國民道德，兼辦慈善公益事業，促進社會福利為宗旨。,捐助,南投縣政府   中華民國57年9月12日,永久,1723537.9,准許,103/05/02,,103/05/02,,,,,,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45號,財團,變更登記,李述燊,4,101/07/10,101/07/23,101/07/23,1冊            4頁,2,9,徐致中,財團法人悲廣文教基金會,082/12/22,南投縣名間鄉新民村員集路163號,以提倡佛教學術研究、宏揚固有文化、淨化社會人心、實踐慈悲精神為宗旨。,捐 助,教育部    中華民國78年4月21日,永久,1000000,准許,101/07/23,,101/07/23,,,,,,
084年法登財              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1號,財團,設立登記,王重吉,5,084/01/04,084/01/23,084/01/24,1冊            5頁,,0,彭百崇,財團法人勞工教育學院文教基金會,084/01/23,南投縣埔里鎮東門里忠孝一路三十二號,推動勞工教育，提昇勞工生活環境。,由彭百崇先生等六人共同捐肋。,南投縣政府中華民國八十三年十二月二日(83）投府社勞字第一六四八五九號函。,永久,2000000,准許,084/01/24,084/01/24,084/01/24,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;33號,財團,變更登記,李述燊,6,103/04/23,103/05/20,103/05/20,1冊            6頁,2,7,杜連上,財團法人南投天德文教基金會,084/01/23,南投縣草屯鎮加老東路40號,以慈愛精神宏揚中華文化，提昇倫理道德，促進教育、文學、哲學、宗教之發展，期建立個體之正確人生觀、達到祥和社會。,由蕭朝明先生等十三人共同捐助。,台灣省政府教育廳　中華民國83年12月8日,永久,5000000,准許,103/05/20,,103/05/20,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;7號,財團,變更登記,李述燊,7,103/01/24,103/02/07,103/02/07,1冊            7頁,1,13,張徐雅梅,財團法人臺灣省南投縣中興佛社,083/04/17,南投縣南投市中正路158號,以維護中興佛社弘揚佛法為宗旨。,由杜德三等捐助,南投縣政府    中華民國57年1月5日,永久,47419715,准許,103/02/07,,103/02/07,,,,,,
094年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;22號,財團,變更登記,胡文傑,8,094/05/19,094/05/20,094/05/23,1冊            8頁,2,3,張國珍,財團法人省立埔里高級工業職業學校文教基金會,084/05/11,南投縣埔里鎮中山路１段４３５號,一、改善本校環境。二、鼓勵教師研究進修。三、獎勵學生五育均衡發展，促進學生敦品勵學，成為堂堂正正的公民。,由本校校友、家長、公司行號及熱心教育人士捐助。,南投縣政府中華民國８４年３月４日８４投府教社字第４０４０號函,永久,3500000,准許,094/05/19,,094/05/19,,,,,,

103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2號,財團,變更登記,李述燊,10,103/01/13,103/03/24,103/03/24,1冊            10頁,1,13,成嘉玲,財團法人南開科技大學,060/08/25,南投縣草屯鎮中正路568號,以提供優質學習環境及培養高階科技人才為目的。,由顧李淑華、顧懷祖、顧不先董事等捐助,教育部   中華民國90年6月29日,永久,2278735445,准許,103/03/24,,103/03/24,,,,,,
