登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
073年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;8號,財團,設立登記,,1,073/09/20,073/09/20,073/09/20,1冊            1頁,,0,董事長,財團法人宗教世界雜誌社,073/09/20,台北市士林區文林路七六五號十一樓之三,為發行宗教世界雜誌，以弘揚儒、釋、道、耶、回五教，主尊忠恕、        慈悲、自然、博愛、清真之精神，並不以營利為目的。,捐助,七十三年八月三十日台北市政府(73)府新一字第三九七九二號,永久,300000,准許,073/09/20,073/09/20,073/09/20,,,,,,
079年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;87號,財團,變更登記,,2,079/10/15,079/10/15,079/10/15,1冊            3頁,2,2,董事長,財團法人私立蒙特梭利幼稚園,073/09/25,台北市天母東路四三巷四弄十號,為創辦私立蒙特梭利幼稚園，以推廣國內學齡前兒童教育研究與發展        為目的。,捐助,七十三年八月十日台北市政府(73)北府教三字第三九一四四號,永久,200000,准許,079/10/26,079/10/26,079/10/26,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;65號,財團,變更登記,陳美月,3,102/02/08,102/02/19,102/02/21,1冊            5頁,1,8,林芳郁,財團法人中華醫學研究獎助基金會,073/11/06,台北市北投區石牌路2段201號,以促進我國醫學研究發展為宗旨。,設立基金共新台幣607萬元正，由鄒濟勳等44人捐助，嗣後並得陸續接受社會熱心醫學研究人士自由捐贈,行政院衛生署73.10.17衛署醫字第5016811號,永久,11200000,准許,102/02/19,,,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;245號,財團,變更登記,陳美月,4,102/07/11,102/07/11,102/07/16,1冊            7頁,2,10,許水德,財團法人中日文教基金會,074/01/30,台北市士林區後港街66號,以發揚中華文化仁愛之精神，敦睦中日兩國間之傳統友誼，促進東北亞地區之文化學術交流，啟發青年人之研究東北亞地區文化為目的。,捐助,教育部74.1.21台(74)高字第2582號函,永久,5000000,准許,102/07/11,,,,,,,,
081年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;48號,財團,變更登記,簡福助,5,081/05/25,081/05/25,081/05/27,1冊            9頁,1,0,董事長,財團法人私立中華海景孝園花園公墓管理服務,074/04/10,台北縣金山鄉五湖村南勢路十六之三號,為私立銘恩孝陵花園公墓永久管理服務。,捐助,七十四年四月六日台北縣政府(74)北府社一字第九０七０二號,永久,5000000,准許,081/05/30,081/05/30,081/05/30,,,,,,
098年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;143號,財團,變更登記,陳美月,6,098/04/28,098/04/30,098/05/04,1冊            11頁,2,9,魏拙夫,財團法人沈力揚教授醫學教育獎學紀念基金會,074/06/20,台北市北投區立農街2段155號,獎勵醫學研究發展，培養醫學人才，提高中華民國醫學水準。,捐助,74年6月10日教育部台(74)高字第23532號,永久,15000000,准許,098/04/30,098/06/15,098/05/11,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;298號,財團,變更登記,陳美月,7,100/09/13,100/09/14,100/09/16,1冊            13頁,2,9,顏國年,財團法人台北基督徒石牌禮拜堂,074/06/21,台北市北投區明德路281號2樓,在促使信徒靈性長進廣傳基督耶穌救世福音，並推動社會福利及公益事業。,捐助,台北市政府民政局74.6.14北市民三字第8708號函,永久,12021230,准許,100/09/14,,,,,,,,
081年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;98號,財團,變更登記,簡福助,8,081/11/14,081/11/14,081/11/14,1冊            15頁,2,2,董事長,財團法人中華民國科技圖書館及資料單位館際合作組織,074/07/11,研究及發展基金會  台北市南港區研究院路二段一二八號之一,促進我國科技資訊之研究，推展科技資訊館際合作，以支援國家科學        技術研究發展為目的。,捐助,七十四年六月二十八日教育部台(74)高字第二六四八七號函,永久,2221441,准許,081/11/24,081/11/24,081/11/24,,,,,,
074年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;46號,財團,設立登記,林朝松,9,074/09/02,074/09/02,074/09/05,1冊            17頁,,0,許水德,財團法人台北市文化基金會,074/09/02,台北市長安西路三十九號,以促進文化建設，推展文化藝術活動，獎助文化學術事業團體，提高市民文化生活水準，增進市民身心健康為目的。,捐助,台北市政府民政局74.8.17北市教四字第四三四七三號,永久,29000000,准許,074/09/20,074/09/20,074/09/20,,,,,,
074年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;59號,財團,設立登記,簡福助,10,074/10/16,074/10/16,074/10/18,1冊            19頁,,0,韓建珊,財團法人台北市韓母謝太夫人慈幼基金會,074/10/16,台北市內湖區太湖街一五八巷四號,配合政府社會福利措施，舉辦無依孤兒福利與教助以及扶植其有關教育為目的。,捐助,台北市政府社會局74.9.14北市教四字第三九七七七號,永久,1000000,准許,074/11/01,074/11/01,074/11/01,,,,,,
