登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
037年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1號,財團,設立登記,葉亭風,1,037/08/20,037/08/20,037/08/23,1冊            1頁,,0,董事長,財團法人私立台南救濟院,037/08/20,台南市民權路二十六號之一,以救濟台南地方無力自救之老弱殘廢鰥寡孤獨等,承繼台南慈惠院及台南愛護會之財產,三十七年七月十九日台南市政府社會局,未定,258600000,准許,082/05/28,082/05/28,082/05/28,,,,,,
066年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1號,財團,解散及清算人任免,,2,065/11/11,065/11/11,065/11/14,1冊            2頁,1,0,董事長,財團法人台灣省更生保護會台南區分會,059/08/14,台南市逢甲路八十號,,接收台灣三成協會台南支部之財產,三十六年一月十五日台南市政府,自36.1.15至65.11.11,340000,准許,082/05/27,082/05/27,082/05/27,,,,,,
084年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;17號,財團,變更登記,何清池,3,084/12/21,084/12/22,084/12/26,1冊            3頁,2,15,鄭興文,財團法人台南市兩廣同鄉會,044/09/01,台南市北門路二段四一號,為興辦教育及謀同鄉事業以資管理同鄉會之資產,由兩廣同鄉會及社員之樂捐,台南市政府民國四十四年四月十九日,未定,100000,准許,084/12/21,085/01/10,085/01/04,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;190號,財團,變更登記,秦建華,4,100/07/12,100/07/12,100/07/12,1冊            4頁,2,9,曾炳榮,財團法人陳介臣獎學基金會,044/11/25,台南市忠義路二段七十二號,,由陳介臣先生捐助,台南市政府民國四十四年五月四四南市教學字第二三六八九號,永久,96000000,准許,100/07/22,,,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;14號,財團,變更登記,秦建華,5,100/01/18,100/01/18,100/01/18,1冊            5頁,1,30,劉中行,財團法人台鹽實業股份有限公司職工福利委員會,045/07/13,台南市南區健康路一段２９７號,辦理台灣製鹽總廠本廠及所屬各鹽場及儲運處辦事處職工福利事項,遵照奉定鹽工福利專款及依照職工福利金條例規定提撥福利金,台灣省政府社會處民國四十五年五月七日社勞福字第００三號,無限期,31064005,准許,100/01/18,,,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;191號,財團,變更登記,秦建華,6,100/07/13,100/07/13,100/07/13,1冊            6頁,2,16,張德謙,財團法人台灣基督長老教會,045/09/22,台南市東門路一段五七號,本會為圖謀基督教健全之發展，致力於台灣之教會所組織，台灣基督長老教會所有或管理執行禮拜、國內外宣教、教育、醫療、社會福利、慈善及其他事業所需之土地、建築物備品以及供應所需之資產為目的。,捐助。,台灣省政府民國四十五年八月七日四五府民一字第八八一六五號,無限期,93943922,准許,100/07/14,,,,,820,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;5號,財團,變更登記,秦建華,7,103/01/13,103/01/13,103/01/14,1冊            7頁,2,22,謝季宏,財團法人臺南市私立長榮高級中學,045/12/29,台南市林森路二段７９號,以發揮基督博愛精神，培育德、育、體、群、美、靈六育並重之青年，服務社會為宗旨。,本校係繼承私立長榮高級中學維持財團之財產,台灣省政府教育廳民國三十七年八月十二日,無限期,1399022076,准許,103/01/16,,,,,,,,
046年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;8號,財團,設立登記,葉亭風,8,046/01/07,046/01/07,046/01/10,1冊            8頁,,0,董事長,財團法人台灣糖業股份有限公司烏樹林糖廠職工福利委,046/01/07,台南縣後壁鄉烏樹林三三四號,辦理職工福利事業,按員工薪津每月總額百分之二點二五提撥,四十五年十月十五日台南縣政府,未定,18761,准許,046/01/07,,,,,,,,
046年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;9號,財團,設立登記,葉亭風,9,046/01/07,046/01/07,046/01/10,1冊            9頁,,0,董事長,財團法人台灣糖業︵股︶公司新營總廠職工福利委員會,046/01/07,台南縣新營鎮六五號,辦理職工福利事業,按員工薪津提撥百分二點二五,四十五年十一月十五日台南縣政府,未定,100900,准許,046/01/07,,,,,,,,
046年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;10號,財團,設立登記,蘇義洲,10,046/01/07,046/01/07,046/01/10,1冊            10頁,,0,董事長,財團法人台灣糖業︵股︶公司灣裡糖廠職工福利委員會,046/01/07,台南縣善化鎮溪美里三一０號,辦理職工福利事業,按職工薪津每月總額百分之二點二五提撥,四十五年十一月十五日台南縣政府,未定,14196,准許,046/01/07,,,,,,,,
