登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
053年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1號,財團,設立登記,許金樹,1,053/08/18,053/08/18,053/08/18,1冊            1頁,,0,董事長,財團法人廖裕紛獎學金董事會,053/08/18,雲林縣二崙鄉庄西村公館六號,一、供應雲林縣優秀學生獎學金所需之一切設備及經費。                  二、供應舉辦學校教育文化等事業所需之一切設備及經費。,由首任董事長廖裕紛捐贈,五十三年八月十一日,無限期,1000000,准許,053/08/18,092/12/31,,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;24號,財團,變更登記,陳曉青,2,100/04/08,100/04/12,100/04/13,1冊            2頁,2,5,廖林來好,財團法人臺灣省雲林縣斗六市真一寺,053/11/04,雲林縣斗六市鎮東里永樂街2號,宣揚佛教宗旨，並協助政府舉辦慈善教育事業,捐助財產,台灣省雲林縣政府雲府全民字第33858 號函中華民國伍拾貳年捌月拾貳日,永久,28661360,准許,100/04/11,,,,,,,,
063年法登                字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6號,財團,變更登記,許金樹,3,063/09/24,063/09/24,063/09/24,1冊            3頁,,0,董事長,財團法人天主教會嘉義教區,054/05/28,嘉義市東川里六鄰山子頂一二八號,以宣揚天主教教義及辦理社會教育並促進慈善事業為目的,所有財產任由天主教會臺灣教區與財團法人聖徒會移交及董事涂敏正捐助,臺灣省政府，45、03、15，(45)府民一字第27026號通知照准(原在嘉義地方法院登記第五號),,7010000,准許,063/09/24,092/12/31,,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;89號,財團,變更登記,陳曉青,4,102/12/23,102/12/26,102/12/27,2冊            17頁,2,17,鍾安住,財團法人雲林縣私立正心高級中學,054/10/15,雲林縣斗六市虎溪里正心路1號,為供應本校已辦或擬辦之教育事業所需之一切設備及經費,土地由斗六市公所無償永久提供使用，經費由羅馬教廷補助天主教嘉義教區支援,臺灣省政府教育廳中華民國五十一年三月三十日(原在嘉義地方法院登記第二十三號),永久,456821224,准許,102/12/26,,,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;49號,財團,變更登記,陳曉青,5,102/05/23,102/05/27,102/05/28,1冊            5頁,2,10,廖芳德,財團法人臺灣省雲林縣西螺福善寺,054/10/15,雲林縣西螺鎮中和里大橋路5號,一、本寺致力於佛法之研究與實踐興辦佛學教育、文化、慈善事業淨化人心造福社會為宗旨。二、本寺以宣揚地藏淨土法門、改善社會不良風氣、貢獻造社地方為目地。,由原福善寺管理委員會名義捐助,雲林縣政府，54、07、10，雲府民行字33675號函,永久,16471000,准許,102/05/27,,,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;63號,財團,變更登記,陳曉青,6,100/10/27,100/11/09,100/11/10,1冊            6頁,2,15,谷聲野,財團法人中國天主教雲林遣使會,055/06/13,雲林縣四湖鄉四湖村15鄰東湖160號之2,以宣揚天主教及辦理社會教育並促進慈善事業為目的,天主教遣使會羅馬總會捐助,55年02月24日,長期,550000,准許,100/11/09,,,沈佩勳,雲林縣四湖鄉中正路509號,654,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1號,財團,變更登記,陳曉青,7,103/01/15,103/01/16,103/01/17,1冊            7頁,1,13,陳正實,財團法人台灣省雲林縣私立巨人高級中學,055/11/05,雲林縣北港鎮大同路647號,遵照國家教育政策暨現行教育法令之規定，辦理高級中學並謀其健全發展。,董事會捐助,臺灣省政府教育廳55年5月17日教三字第35083號,永久,76437483,准許,103/01/16,,,,,,,,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;16號,財團,變更登記,陳曉青,8,103/04/01,103/04/08,103/04/09,2冊            1頁,2,6,陳銘斌,財團法人臺灣省雲林縣私立揚子高級中學,056/07/15,雲林縣虎尾鎮穎川里林森路2段541號,供應本校為舉辦各項教育事業所需之一切設備及經費,由創辦董事捐助,臺灣省教育廳51年08月04日教二字第03100號函,永久,356696345.4,准許,103/04/07,,,,,,,,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;90號,財團,變更登記,陳曉青,9,102/12/23,102/12/27,102/12/30,2冊            2頁,1,15,鍾安住,財團法人臺灣省雲林縣私立文生高級中學,056/07/15,雲林縣四湖鄉四湖村中正路509號,辦理教育事業、培養健全國民,建校土地由四湖鄉公所永久無條件贈與使用建校基金則由天主教中國遣使會及創辦人周志毅募集,54年6月11日臺灣省教育廳教二字37692號函,永久,159092852,准許,102/12/27,,,,,,,,
092年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;37號,財團,變更登記,蕭守田,10,092/11/07,092/11/10,092/11/10,2冊            3頁,1,10,李聰田,財團法人台灣省雲林縣私立崇先高級中學,056/10/11,雲林縣大埤鄉尚義村六號,供應本校為舉辦各項教育事業所需之一切設備及經費,建校基地係購置大埤鄉公所鄉有地建校基金及經費由現任董事長李聰田負責籌措,五十一年六月十八日,長期,360788817,准許,092/11/10,092/12/24,,,,,,,
